Nama Lokasi,Jam Login,Nama,Email,No Telepon,Tahun Lahir,Merk HP,Minat Digital,Tipe Lokasi,Usia,Generasi,Waktu Sesi,Skor Minat Digital,Status Aktif,Domain Email
Yogyakarta,18:03,"Ir. Ganep Kusumo, S.Pd",dmanullang@example.org,0841-2290-2403,1985,Apple,Tinggi,Tourism,41,Millennial,Sore,75,Kurang Aktif,example.org
Denpasar,12:08,"Tantri Saptono, M.TI.",cinthiakurniawan@example.net,0895-8787-3705,1978,Realme,Sedang,Tourism,48,Gen X,Siang,50,Aktif,example.net
Makassar,13:59,Zaenab Uyainah,gaduhwahyudin@example.org,0880-4295-6107,1983,Vivo,Sedang,Urban,43,Millennial,Siang,50,Aktif,example.org
Medan,07:57,KH. Virman Nuraini,rahimahmarsudi@example.com,0877-8397-2982,1998,Samsung,Sedang,Urban,28,Gen Z,Pagi,50,Kurang Aktif,example.com
Jakarta Selatan,10:14,Balidin Tarihoran,jatmiko03@example.net,0886-4608-1117,2005,Vivo,Rendah,Urban,21,Gen Z,Pagi,25,Kurang Aktif,example.net
Surabaya,13:57,Bakiadi Laksita,nasyidahdwi@example.org,0815-6413-2160,1974,Xiaomi,Tinggi,Urban,52,Gen X,Siang,75,Aktif,example.org
Semarang,08:34,"Jaswadi Pudjiastuti, S.E.",elvina96@example.org,0827-8744-4981,1983,Apple,Tinggi,Urban,43,Millennial,Pagi,75,Kurang Aktif,example.org
Surabaya,14:06,KH. Omar Pangestu,raditya57@example.net,0895-8062-6804,1976,OPPO,Sedang,Urban,50,Gen X,Siang,50,Kurang Aktif,example.net
Jakarta Selatan,10:03,Devi Prayoga,cagaksirait@example.org,0862-6559-2790,1976,Samsung,Sedang,Urban,50,Gen X,Pagi,50,Kurang Aktif,example.org
Semarang,11:27,Drs. Ghaliyati Rahmawati,adityahidayanto@example.net,0834-5563-8579,1978,Infinix,Sedang,Urban,48,Gen X,Siang,50,Aktif,example.net
Semarang,10:06,"Asmuni Pradana, S.Pt",sitompulcaket@example.net,0817-9856-1241,2005,Infinix,Sangat Tinggi,Urban,21,Gen Z,Pagi,95,Kurang Aktif,example.net
Surabaya,20:26,Estiawan Winarsih,iprabowo@example.org,0873-8886-4502,1980,Realme,Sangat Tinggi,Urban,46,Gen X,Malam,95,Aktif,example.org
Bandung,12:00,"Queen Permata, M.Kom.",warsitawasita@example.org,0860-5345-8454,1994,Vivo,Sedang,Urban,32,Millennial,Siang,50,Aktif,example.org
Denpasar,08:09,Bakti Wahyuni,bthamrin@example.com,0835-5861-4566,2001,OPPO,Sangat Tinggi,Tourism,25,Gen Z,Pagi,95,Kurang Aktif,example.com
Denpasar,16:47,Zelaya Habibi,halimreksa@example.net,0851-1936-1821,1973,OPPO,Tinggi,Tourism,53,Gen X,Sore,75,Kurang Aktif,example.net
Denpasar,08:03,Wirda Kurniawan,harjonainggolan@example.net,0876-2312-4044,1980,Samsung,Rendah,Tourism,46,Gen X,Pagi,25,Kurang Aktif,example.net
Surabaya,13:07,Dina Anggraini,kalimhariyah@example.org,0883-5033-1651,1995,Xiaomi,Tinggi,Urban,31,Millennial,Siang,75,Aktif,example.org
Palembang,05:33,"Puti Maimunah Pudjiastuti, S.IP",yuliantigina@example.org,0851-5272-4346,2006,Xiaomi,Tinggi,Suburban,20,Gen Z,Pagi,75,Kurang Aktif,example.org
Yogyakarta,07:08,Wira Prakasa,rahmatlaksita@example.com,0896-5915-8491,1995,Apple,Sedang,Tourism,31,Millennial,Pagi,50,Kurang Aktif,example.com
Jakarta Pusat,13:29,Saka Wacana,marbunprabu@example.org,0890-2638-2200,1970,OPPO,Tinggi,Urban,56,Gen X,Siang,75,Aktif,example.org
Bandung,15:56,Hani Hasanah,slamet87@example.org,0819-5002-7054,1992,Xiaomi,Sedang,Urban,34,Millennial,Siang,50,Kurang Aktif,example.org
Denpasar,13:39,Ega Pratama,prastutihalima@example.org,0894-9666-1128,1989,OPPO,Tinggi,Tourism,37,Millennial,Siang,75,Aktif,example.org
Jakarta Pusat,12:16,"Iriana Hakim, S.Gz",hmardhiyah@example.org,0825-2753-3546,1978,Vivo,Sedang,Urban,48,Gen X,Siang,50,Aktif,example.org
Medan,11:43,Yosef Melani,nashiruddincahyo@example.net,0892-5325-9280,1983,Realme,Sedang,Urban,43,Millennial,Siang,50,Aktif,example.net
Jakarta Selatan,07:40,Mursita Prakasa,klazuardi@example.org,0865-5533-1722,1975,Apple,Rendah,Urban,51,Gen X,Pagi,25,Kurang Aktif,example.org
Yogyakarta,10:47,Ir. Azalea Safitri,andrianitira@example.net,0867-8007-1158,1980,Infinix,Rendah,Tourism,46,Gen X,Pagi,25,Kurang Aktif,example.net
Bandung,11:02,Drs. Iriana Rajata,ulvasihotang@example.org,0858-3426-8041,2004,Xiaomi,Rendah,Urban,22,Gen Z,Siang,25,Aktif,example.org
Jakarta Selatan,17:13,Lala Mustofa,vinsen51@example.org,0898-5088-2684,1992,OPPO,Sedang,Urban,34,Millennial,Sore,50,Kurang Aktif,example.org
Makassar,14:59,Sarah Pratiwi,hidayantogawati@example.org,0841-3662-3900,1979,Samsung,Sangat Tinggi,Urban,47,Gen X,Siang,95,Kurang Aktif,example.org
Medan,05:51,T. Cahyadi Tampubolon,prasastaokta@example.com,0896-5065-5371,1996,Vivo,Sedang,Urban,30,Millennial,Pagi,50,Kurang Aktif,example.com
Makassar,14:54,Ismail Palastri,padma80@example.net,0871-4644-4269,1972,OPPO,Tinggi,Urban,54,Gen X,Siang,75,Kurang Aktif,example.net
Yogyakarta,11:14,"Drs. Ifa Wijayanti, S.IP",karsanalatupono@example.org,0814-4164-7528,1984,Realme,Sedang,Tourism,42,Millennial,Siang,50,Aktif,example.org
Yogyakarta,10:41,"Puspa Mangunsong, S.T.",nurul35@example.org,0876-7548-9785,1992,Samsung,Sedang,Tourism,34,Millennial,Pagi,50,Kurang Aktif,example.org
Yogyakarta,15:37,"Mahesa Saptono, M.TI.",dramadan@example.org,0844-1626-2776,1981,Xiaomi,Tinggi,Tourism,45,Millennial,Siang,75,Kurang Aktif,example.org
Medan,17:38,"Indra Saefullah, S.Gz",sitoruselon@example.net,0876-2894-7311,1997,Samsung,Sangat Tinggi,Urban,29,Gen Z,Sore,95,Kurang Aktif,example.net
Jakarta Selatan,16:00,Elisa Handayani,apurwanti@example.org,0877-9821-4228,1997,Samsung,Sedang,Urban,29,Gen Z,Sore,50,Kurang Aktif,example.org
Medan,09:42,Warsa Maryadi,uwaislalita@example.net,0826-5920-9308,1990,Xiaomi,Sedang,Urban,36,Millennial,Pagi,50,Kurang Aktif,example.net
Makassar,11:35,Irfan Mahendra,samosiromar@example.org,0827-4143-7888,1988,Xiaomi,Tinggi,Urban,38,Millennial,Siang,75,Aktif,example.org
Bandung,14:19,Fathonah Zulaika,unjanijailani@example.com,0862-9977-1006,2006,Samsung,Sedang,Urban,20,Gen Z,Siang,50,Kurang Aktif,example.com
Palembang,16:29,"Dr. Tasdik Wasita, M.Ak",jasmanimarpaung@example.org,0867-8244-4501,1990,Apple,Tinggi,Suburban,36,Millennial,Sore,75,Kurang Aktif,example.org
Bandung,11:18,Aisyah Nugroho,ridwan34@example.org,0876-6491-2530,1975,Apple,Tinggi,Urban,51,Gen X,Siang,75,Aktif,example.org
Yogyakarta,12:51,"H. Balangga Wibowo, S.Gz",mprasetya@example.com,0836-3414-1400,1984,Huawei,Rendah,Tourism,42,Millennial,Siang,25,Aktif,example.com
Palembang,08:29,Ina Pradana,asirwadawahyuni@example.org,0864-4185-7291,1974,Xiaomi,Sedang,Suburban,52,Gen X,Pagi,50,Kurang Aktif,example.org
Jakarta Selatan,08:49,Julia Setiawan,setiawannardi@example.net,0865-4585-3881,1976,Vivo,Tinggi,Urban,50,Gen X,Pagi,75,Kurang Aktif,example.net
Semarang,16:35,dr. Mustika Nasyiah,asman14@example.org,0842-2988-8478,1973,OPPO,Rendah,Urban,53,Gen X,Sore,25,Kurang Aktif,example.org
Denpasar,18:38,Tgk. Ani Kurniawan,usitumorang@example.com,0851-8251-9270,2005,Realme,Sedang,Tourism,21,Gen Z,Sore,50,Kurang Aktif,example.com
Semarang,12:47,Rachel Melani,winarnokeisha@example.org,0871-8373-5246,1980,Realme,Tinggi,Urban,46,Gen X,Siang,75,Aktif,example.org
Yogyakarta,17:31,Aurora Fujiati,nurdiyantigenta@example.net,0891-4919-5499,2003,Apple,Sedang,Tourism,23,Gen Z,Sore,50,Kurang Aktif,example.net
Surabaya,14:21,"Ulya Winarsih, S.Kom",setya15@example.net,0851-9849-2320,1987,Samsung,Rendah,Urban,39,Millennial,Siang,25,Kurang Aktif,example.net
Bandung,10:04,Salimah Maheswara,cinthia46@example.com,0864-7678-6421,1983,Xiaomi,Tinggi,Urban,43,Millennial,Pagi,75,Kurang Aktif,example.com
Surabaya,14:24,Tami Sihombing,harjoandriani@example.net,0885-1320-7232,1996,Infinix,Sedang,Urban,30,Millennial,Siang,50,Kurang Aktif,example.net
Yogyakarta,19:54,Shania Natsir,rosman80@example.com,0864-9818-9947,1994,Realme,Tinggi,Tourism,32,Millennial,Sore,75,Aktif,example.com
Semarang,12:17,Fathonah Astuti,wadi77@example.net,0866-8956-1475,1984,Vivo,Sedang,Urban,42,Millennial,Siang,50,Aktif,example.net
Makassar,19:53,Kajen Kusmawati,tiarahutasoit@example.com,0870-3091-9751,1980,Xiaomi,Rendah,Urban,46,Gen X,Sore,25,Aktif,example.com
Palembang,02:05,Ir. Mahesa Safitri,cengkir34@example.org,0893-8022-3223,1971,Samsung,Sangat Tinggi,Suburban,55,Gen X,Malam,95,Kurang Aktif,example.org
Yogyakarta,16:20,"Sutan Cakrajiya Dongoran, S.Gz",wasissuryatmi@example.org,0838-8449-6355,1994,Realme,Sedang,Tourism,32,Millennial,Sore,50,Kurang Aktif,example.org
Yogyakarta,13:16,Lidya Usamah,zamirawinarno@example.com,0821-8705-1317,1996,Samsung,Tinggi,Tourism,30,Millennial,Siang,75,Aktif,example.com
Medan,11:41,Hesti Maulana,kurniawansoleh@example.org,0819-1659-1508,1984,Samsung,Sangat Tinggi,Urban,42,Millennial,Siang,95,Aktif,example.org
Jakarta Selatan,13:15,Rangga Maryati,jhardiansyah@example.org,0827-8758-2874,1979,Samsung,Tinggi,Urban,47,Gen X,Siang,75,Aktif,example.org
Yogyakarta,05:10,"Puti Mutia Mansur, M.M.",timbul98@example.com,0888-2876-3683,1993,Samsung,Sangat Tinggi,Tourism,33,Millennial,Pagi,95,Kurang Aktif,example.com
Jakarta Selatan,12:36,"Drs. Melinda Manullang, M.Kom.",wrajata@example.org,0897-7149-7498,1989,Samsung,Sangat Tinggi,Urban,37,Millennial,Siang,95,Aktif,example.org
Palembang,14:06,"Hj. Ika Nurdiyanti, M.Kom.",kuntharafarida@example.org,0849-2983-1672,1985,Xiaomi,Sedang,Suburban,41,Millennial,Siang,50,Kurang Aktif,example.org
Medan,18:32,"Irma Prakasa, S.T.",manah81@example.org,0893-6590-1207,1974,Apple,Tinggi,Urban,52,Gen X,Sore,75,Kurang Aktif,example.org
Jakarta Pusat,10:23,Daru Winarno,ikhsanharyanto@example.com,0892-8532-3506,1997,Apple,Sedang,Urban,29,Gen Z,Pagi,50,Kurang Aktif,example.com
Yogyakarta,09:49,Julia Namaga,dagustina@example.org,0872-8616-8136,2004,Vivo,Tinggi,Tourism,22,Gen Z,Pagi,75,Kurang Aktif,example.org
Medan,10:53,"drg. Kayla Padmasari, S.Ked",akuswandari@example.com,0822-5569-8385,1985,OPPO,Sedang,Urban,41,Millennial,Pagi,50,Kurang Aktif,example.com
Palembang,16:21,Umi Wibisono,vnasyiah@example.net,0814-9098-6325,1994,Samsung,Sedang,Suburban,32,Millennial,Sore,50,Kurang Aktif,example.net
Yogyakarta,14:17,KH. Luhung Prasetya,rprasetya@example.com,0887-5526-1166,1991,Samsung,Tinggi,Tourism,35,Millennial,Siang,75,Kurang Aktif,example.com
Surabaya,10:31,Ana Wibisono,uli62@example.com,0882-4937-8800,1996,OPPO,Tinggi,Urban,30,Millennial,Pagi,75,Kurang Aktif,example.com
Jakarta Selatan,15:18,Luthfi Nasyidah,wijayamaida@example.net,0839-7625-4986,1975,Vivo,Sedang,Urban,51,Gen X,Siang,50,Kurang Aktif,example.net
Semarang,13:33,"Akarsana Hutasoit, S.Farm",virmannajmudin@example.org,0855-7971-6419,2005,OPPO,Sedang,Urban,21,Gen Z,Siang,50,Aktif,example.org
Yogyakarta,16:14,Kezia Simbolon,upiksimbolon@example.com,0826-4155-6169,1986,OPPO,Rendah,Tourism,40,Millennial,Sore,25,Kurang Aktif,example.com
Bandung,10:13,"dr. Estiawan Andriani, S.T.",halimaharis@example.net,0872-5530-9595,1982,Huawei,Tinggi,Urban,44,Millennial,Pagi,75,Kurang Aktif,example.net
Surabaya,11:14,Dt. Wawan Tampubolon,salsabilahidayat@example.net,0857-3939-5952,1988,OPPO,Rendah,Urban,38,Millennial,Siang,25,Aktif,example.net
Yogyakarta,11:03,Perkasa Dabukke,herudamanik@example.net,0881-5786-3068,1972,Apple,Tinggi,Tourism,54,Gen X,Siang,75,Aktif,example.net
Jakarta Pusat,07:36,Digdaya Mahendra,hwinarsih@example.net,0847-8690-8843,1970,Samsung,Sedang,Urban,56,Gen X,Pagi,50,Kurang Aktif,example.net
Jakarta Selatan,14:55,Jaka Rajasa,gandewa99@example.net,0872-2869-2070,1986,Samsung,Sedang,Urban,40,Millennial,Siang,50,Kurang Aktif,example.net
Jakarta Selatan,14:09,"Calista Marpaung, S.Pd",prastutiaslijan@example.com,0883-5978-2395,1979,Samsung,Sangat Tinggi,Urban,47,Gen X,Siang,95,Kurang Aktif,example.com
Makassar,13:49,Hj. Keisha Widodo,cakrawangsarahayu@example.net,0877-7232-8381,1984,Xiaomi,Sangat Tinggi,Urban,42,Millennial,Siang,95,Aktif,example.net
Palembang,12:19,"Hj. Hesti Jailani, S.Pd",pratiwibakda@example.com,0883-1986-2625,1997,Samsung,Sangat Tinggi,Suburban,29,Gen Z,Siang,95,Aktif,example.com
Surabaya,07:42,dr. Mitra Uwais,mayasarisalimah@example.com,0821-3573-4929,1986,Samsung,Sedang,Urban,40,Millennial,Pagi,50,Kurang Aktif,example.com
Jakarta Selatan,11:28,Samsul Andriani,bkurniawan@example.com,0899-8699-5771,1996,Xiaomi,Rendah,Urban,30,Millennial,Siang,25,Aktif,example.com
Yogyakarta,11:04,"Tri Haryanti, S.E.I",unugroho@example.net,0898-4824-5334,1999,Vivo,Tinggi,Tourism,27,Gen Z,Siang,75,Aktif,example.net
Surabaya,09:07,"Emong Susanti, M.Pd",bhastuti@example.net,0880-4683-3441,1997,Apple,Sangat Tinggi,Urban,29,Gen Z,Pagi,95,Kurang Aktif,example.net
Jakarta Pusat,12:10,Tgk. Janet Prasasta,setiawanumay@example.org,0850-5728-8195,1973,Vivo,Rendah,Urban,53,Gen X,Siang,25,Aktif,example.org
Makassar,14:32,"drg. Kairav Suryatmi, S.Sos",asmianto75@example.org,0880-9090-8172,1987,Samsung,Rendah,Urban,39,Millennial,Siang,25,Kurang Aktif,example.org
Makassar,20:38,Gabriella Thamrin,maman49@example.net,0843-1423-2496,1990,Vivo,Sedang,Urban,36,Millennial,Malam,50,Aktif,example.net
Palembang,13:48,Puti Anggriawan,cawisonopermadi@example.net,0897-5415-1659,1971,Samsung,Tinggi,Suburban,55,Gen X,Siang,75,Aktif,example.net
Denpasar,14:58,Nurul Puspita,zahrakusmawati@example.net,0846-3973-8141,1998,OPPO,Tinggi,Tourism,28,Gen Z,Siang,75,Kurang Aktif,example.net
Jakarta Pusat,12:22,"Nurul Hassanah, S.Ked",sihombingilyas@example.com,0863-6460-6260,2000,Realme,Tinggi,Urban,26,Gen Z,Siang,75,Aktif,example.com
Medan,05:44,"Hesti Samosir, M.Farm",warsita88@example.com,0874-5722-7561,1996,OPPO,Tinggi,Urban,30,Millennial,Pagi,75,Kurang Aktif,example.com
Semarang,12:20,Uli Pudjiastuti,niyaga74@example.com,0843-6296-2899,1975,Xiaomi,Sangat Tinggi,Urban,51,Gen X,Siang,95,Aktif,example.com
Denpasar,13:42,Gina Lazuardi,laswilazuardi@example.net,0880-8569-7770,1970,OPPO,Rendah,Tourism,56,Gen X,Siang,25,Aktif,example.net
Palembang,22:40,KH. Muhammad Nashiruddin,ianlaksmiwati@example.com,0867-1845-4335,2001,Samsung,Sedang,Suburban,25,Gen Z,Malam,50,Kurang Aktif,example.com
Yogyakarta,12:56,"Rini Novitasari, M.Ak",daliono34@example.org,0873-2989-1472,1998,Vivo,Sangat Tinggi,Tourism,28,Gen Z,Siang,95,Aktif,example.org
Surabaya,14:19,Elma Sihombing,nasyidahdono@example.com,0881-1224-7684,1980,Huawei,Rendah,Urban,46,Gen X,Siang,25,Kurang Aktif,example.com
Jakarta Pusat,12:07,Asmadi Puspasari,zelda27@example.org,0893-3522-9165,1999,Xiaomi,Sangat Tinggi,Urban,27,Gen Z,Siang,95,Aktif,example.org
Yogyakarta,08:53,"Cut Queen Suryono, M.Kom.",vfarida@example.org,0872-8736-4993,1996,Samsung,Sedang,Tourism,30,Millennial,Pagi,50,Kurang Aktif,example.org
Surabaya,17:47,Dono Kuswandari,haryantorama@example.com,0828-2143-5526,2002,Realme,Tinggi,Urban,24,Gen Z,Sore,75,Kurang Aktif,example.com
Medan,16:17,Koko Usamah,maryadiemin@example.net,0811-5634-5891,2002,OPPO,Tinggi,Urban,24,Gen Z,Sore,75,Kurang Aktif,example.net
Semarang,16:28,Chelsea Prayoga,puspitarafi@example.net,0879-8935-6654,1979,Apple,Sedang,Urban,47,Gen X,Sore,50,Kurang Aktif,example.net
Makassar,09:59,Ir. Genta Nurdiyanti,chartati@example.com,0852-4090-4912,1999,Samsung,Tinggi,Urban,27,Gen Z,Pagi,75,Kurang Aktif,example.com
Makassar,18:20,"Ir. Maria Samosir, M.Farm",suryatmidalimin@example.org,0871-7246-7325,1972,Apple,Sangat Tinggi,Urban,54,Gen X,Sore,95,Kurang Aktif,example.org
Bandung,07:02,"Danuja Saptono, S.Pt",jatmikonatsir@example.net,0827-9229-6439,2001,Realme,Sangat Tinggi,Urban,25,Gen Z,Pagi,95,Kurang Aktif,example.net
Semarang,15:33,Candrakanta Adriansyah,shartati@example.net,0869-1251-3361,1976,Vivo,Sedang,Urban,50,Gen X,Siang,50,Kurang Aktif,example.net
Bandung,21:30,Icha Firmansyah,kokosuryono@example.net,0844-6546-7512,1974,Realme,Tinggi,Urban,52,Gen X,Malam,75,Aktif,example.net
Denpasar,09:20,"Dr. Belinda Pradipta, S.T.",solehlatupono@example.net,0891-8994-9864,1994,Samsung,Rendah,Tourism,32,Millennial,Pagi,25,Kurang Aktif,example.net
Yogyakarta,10:47,Marsudi Maryadi,edi10@example.org,0822-8110-2612,1984,Vivo,Tinggi,Tourism,42,Millennial,Pagi,75,Kurang Aktif,example.org
Jakarta Pusat,13:10,"T. Legawa Purnawati, S.Pd",dmaheswara@example.net,0899-5906-1474,1998,Apple,Rendah,Urban,28,Gen Z,Siang,25,Aktif,example.net
Yogyakarta,10:23,Tira Waskita,belinda87@example.com,0866-3385-5000,1992,OPPO,Tinggi,Tourism,34,Millennial,Pagi,75,Kurang Aktif,example.com
Bandung,06:11,Liman Gunarto,msinaga@example.com,0821-7267-4945,1980,Vivo,Sedang,Urban,46,Gen X,Pagi,50,Kurang Aktif,example.com
Surabaya,13:40,Bakijan Pradana,wulandarikawaya@example.net,0843-8529-5183,1999,Realme,Tinggi,Urban,27,Gen Z,Siang,75,Aktif,example.net
Semarang,08:43,Prabowo Natsir,pmaryati@example.com,0880-3588-2210,1988,Xiaomi,Sedang,Urban,38,Millennial,Pagi,50,Kurang Aktif,example.com
Palembang,14:40,Elvina Padmasari,fusada@example.org,0865-5097-8484,1989,Samsung,Tinggi,Suburban,37,Millennial,Siang,75,Kurang Aktif,example.org
Makassar,09:06,Kamaria Wasita,maras12@example.com,0841-7248-6881,2000,Huawei,Tinggi,Urban,26,Gen Z,Pagi,75,Kurang Aktif,example.com
Yogyakarta,19:53,Talia Lailasari,tantri68@example.org,0895-7484-5497,1971,Realme,Rendah,Tourism,55,Gen X,Sore,25,Aktif,example.org
Jakarta Selatan,09:53,Clara Sihotang,marsudi16@example.net,0847-4770-6772,2001,Samsung,Sedang,Urban,25,Gen Z,Pagi,50,Kurang Aktif,example.net
Yogyakarta,11:40,"Cut Sakura Namaga, M.M.",mhabibi@example.net,0823-1645-6061,1978,Samsung,Tinggi,Tourism,48,Gen X,Siang,75,Aktif,example.net
Medan,16:05,Sarah Mandasari,nhabibi@example.com,0848-6352-7807,1978,Samsung,Sedang,Urban,48,Gen X,Sore,50,Kurang Aktif,example.com
Denpasar,08:33,R.M. Wira Suwarno,hlaksita@example.org,0875-5465-3695,1993,Apple,Sedang,Tourism,33,Millennial,Pagi,50,Kurang Aktif,example.org
Semarang,13:47,"Lulut Permadi, S.E.",ika08@example.com,0854-2886-8673,1988,Samsung,Sangat Tinggi,Urban,38,Millennial,Siang,95,Aktif,example.com
Surabaya,18:54,Darmanto Latupono,plazuardi@example.org,0882-6992-2479,1995,Samsung,Tinggi,Urban,31,Millennial,Sore,75,Kurang Aktif,example.org
Denpasar,06:29,Tina Siregar,radika77@example.org,0858-5295-7242,1977,Infinix,Tinggi,Tourism,49,Gen X,Pagi,75,Kurang Aktif,example.org
Jakarta Pusat,13:30,Puspa Maulana,mnainggolan@example.net,0814-6374-4626,1984,Vivo,Tinggi,Urban,42,Millennial,Siang,75,Aktif,example.net
Semarang,14:41,"Diana Hidayat, S.T.",ysiregar@example.net,0863-2911-3290,1989,Samsung,Rendah,Urban,37,Millennial,Siang,25,Kurang Aktif,example.net
Semarang,16:06,Yuni Adriansyah,lembah99@example.net,0841-9807-3222,1977,Xiaomi,Sedang,Urban,49,Gen X,Sore,50,Kurang Aktif,example.net
Denpasar,08:37,Zelaya Maryadi,enasyiah@example.com,0830-7797-2622,1996,Vivo,Tinggi,Tourism,30,Millennial,Pagi,75,Kurang Aktif,example.com
Yogyakarta,07:44,Puspa Palastri,uhasanah@example.org,0858-4559-8264,1972,Samsung,Sedang,Tourism,54,Gen X,Pagi,50,Kurang Aktif,example.org
Medan,15:43,"Halima Pertiwi, S.Sos",rizkigunawan@example.com,0858-9920-6876,1976,Xiaomi,Rendah,Urban,50,Gen X,Siang,25,Kurang Aktif,example.com
Jakarta Pusat,14:05,"Nabila Wibowo, S.Sos",anastasiafirgantoro@example.org,0895-4475-1349,1999,Xiaomi,Rendah,Urban,27,Gen Z,Siang,25,Kurang Aktif,example.org
Bandung,14:13,Drs. Gamblang Januar,hjanuar@example.com,0819-4394-4538,2006,Samsung,Tinggi,Urban,20,Gen Z,Siang,75,Kurang Aktif,example.com
Bandung,14:17,Najam Megantara,jyolanda@example.org,0829-3129-9850,1970,Samsung,Sedang,Urban,56,Gen X,Siang,50,Kurang Aktif,example.org
Jakarta Selatan,10:00,Violet Saptono,padmi61@example.com,0856-4898-6304,1978,Xiaomi,Rendah,Urban,48,Gen X,Pagi,25,Kurang Aktif,example.com
Bandung,13:33,"Hj. Zamira Nasyidah, S.Sos",ratih78@example.org,0825-2041-8802,1996,Xiaomi,Sedang,Urban,30,Millennial,Siang,50,Aktif,example.org
Palembang,14:28,Puti Gilda Usamah,jaeman16@example.org,0875-4629-1710,1976,Realme,Tinggi,Suburban,50,Gen X,Siang,75,Kurang Aktif,example.org
Denpasar,10:29,"Ir. Niyaga Januar, M.M.",zulfasalahudin@example.org,0893-1510-1996,1989,Realme,Sangat Tinggi,Tourism,37,Millennial,Pagi,95,Kurang Aktif,example.org
Makassar,20:31,Gamani Hakim,nasim56@example.org,0867-2204-2323,1976,Samsung,Sedang,Urban,50,Gen X,Malam,50,Aktif,example.org
Bandung,14:39,Karta Zulkarnain,ganepnatsir@example.org,0892-9984-6327,1987,Vivo,Sedang,Urban,39,Millennial,Siang,50,Kurang Aktif,example.org
